Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Link_1,0.0041195959433721,0.00474968738105286,0.0289356503363691,0,0,0,0.214712543801582,0.00010967808746877,-1.0338372982007E-07,-1.11754917199067E-08,8.35184775203106E-05,3.3909748429294E-08,0.000184527790301755,0,0,0,0,0,0,package://Mario_Assembly/meshes/Link_1.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://Mario_Assembly/meshes/Link_1.STL,,Upper_Baseplate-1;Board_Spacer_large-13;Board_Spacer_large-14;Board_Spacer_small-7;Lower_Baseplate-1;sra_dev_board_2022-1;MG995-1;Board_Spacer_large-11;Board_Spacer_large-12;Board_Spacer_small-6;Board_Spacer_large-2;Board_Spacer_large-1;Board_Spacer_small-1;Board_Spacer_small-5;Board_Spacer_large-10;Board_Spacer_large-9,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_2,0.00844494644797055,-0.014373202054543,0.0219378314160253,0,0,0,0.0265256898848201,5.07905383664275E-06,-1.89949777750374E-06,5.62670436619023E-09,7.27239464343923E-06,-1.13772261296904E-08,8.11525741647489E-06,0,0,0,0,0,0,package://Mario_Assembly/meshes/Link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mario_Assembly/meshes/Link_2.STL,,Servo_MG995_Star_horn-1;L_Clamp_Part2-1;SG90 - Micro Servo 9g_Motor-1;L_Clamp_Part1-1,Origin_Joint_1,Axis_Joint_1,Joint_1,continuous,0,0,0.0791,0,0,-0.10872,Link_1,0,0,1,,,,,,,,,,,,
Link_3,0.0415244195997565,-0.0129071157484673,0.0173525674706036,0,0,0,0.0151482076710041,9.89600577660498E-07,-1.16832960218687E-08,-1.13095249415414E-06,4.08760796218019E-06,-4.89230666582289E-09,3.24049453369696E-06,0,0,0,0,0,0,package://Mario_Assembly/meshes/Link_3.STL,1,1,1,1,0,0,0,0,0,0,package://Mario_Assembly/meshes/Link_3.STL,,SG90 - Micro Servo 9gDoubleHorn-1;Link1-1;SG90 - Micro Servo 9g_Motor-3,Origin_Joint_2,Axis_Joint_2,Joint_2,continuous,0.0001882,0.00010866,0.041252,0,0,0.5236,Link_2,0,1,0,,,,,,,,,,,,
Link_4,6.81242883400768E-05,0.00544054198441336,-0.050702180874678,0,0,0,0.0134427034473215,6.18410233101787E-06,-9.60758244313861E-10,5.33916891854104E-08,5.76244797172349E-06,1.04670762378509E-07,1.20929671367831E-06,0,0,0,0,0,0,package://Mario_Assembly/meshes/Link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mario_Assembly/meshes/Link_4.STL,,Link2-1;SG90 - Micro Servo 9gDoubleHorn-3;Gripper_Base-1,Origin_Joint_3,Axis_Joint_3,Joint_3,continuous,0.05866,0,0.024588,0,-0.39691,0,Link_3,0,1,0,,,,,,,,,,,,
Gripper,-0.00103575530339417,-0.0150506847386816,-0.00770061041542727,0,0,0,0.0362377387684965,7.24170443133569E-06,1.2661855343743E-08,3.65846228261207E-12,5.71598842039774E-06,1.88317583468337E-07,1.67751526700136E-06,0,0,0,0,0,0,package://Mario_Assembly/meshes/Gripper.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://Mario_Assembly/meshes/Gripper.STL,,mariogear2-1;SG90 - Micro Servo 9gDoubleHorn-4;mariogear1-1;SG90 - Micro Servo 9g_Motor-4,Origin_Joint_4,Axis_Joint_4,Joint_4,continuous,0.00082495,0.018376,-0.089872,0,-0.0091789,0,Link_4,1,0,0,,,,,,,,,,,,
